	Virginia Tech Information System // BANNER										
											
Subject Title 	Dept. No. 	Hrs. 	Gr.	Qual. Cr. 			Subject Title 	Dept. No. 	Hrs. 	Gr.	Qual. Cr. 
General Chemistry	CHEM 1035	3	W	0			Consumer Rights	AHRM 2404	3	A	12
General Chemistry Lab	CHEM 1045	1	B+	3.3			Intro to Unix for Engineers	ECE 2524	2	C+	4.6
Foundations of Engineering	ENGE 1215	2	B-	5.4			Digital Design I 	ECE 3544	4	B-	10.8
Intro to Spatial Visualization	ENGE 1354	1	C+	2.3			Prob & Stat for EE	STAT 4714	3	B-	8.1
First-Year Writing	ENGL 1105	3	B-	8.1							
World Regions	GEOG 1014	3	A	3			TERM GPA	2.958333333			
Calculus of a Single Variable	MATH 1225	4	A-	14.8			CUMULATIVE GPA	#ERROR!			
								#VALUE!			
TERM GPA	2.170588235										
CUMULATIVE GPA	2.635714286										
											
Foundations of Engineering	ENGE 1216	2	B	6			Computer Org & Architecture	ECE 2500	3	A	12
Introduction to Short Fiction	ENGL 1614	3	B-	8.1			Signals & Systems 	ECE 2704	3	A	12
Calculus of a Single Variable	MATH 1226	4	C+	9.2			Network Application Design 	ECE 4564	3	A	12
Introduction to Linear Algebra	MATH 2114	3	C+	6.9			Undergraduate Research	ECE 4994	3	A	12
Foundations of Physics I 	PHYS 2305	4	C	8							
							TERM GPA	4			
TERM GPA	2.3875						CUMULATIVE GPA	#ERROR!			
CUMULATIVE GPA	#VALUE!							#VALUE!			
											
Engr Problem Solving with C++	ECE 1574	3	A	12							
Electric Circuit Analysis	ECE 2004	3	C	6			Principles Computer Security	CS 4264	3	A	12
Intro Multivariable Calculus 	MATH 2204	3	C+	6.9			Semiconductor Device Fund	ECE 3214	3	B+	9.9
Intro Diff Equations 	MATH 2214	3	B	9			Comp and Network Security Fund	ECE 4560	3	A	12
							Undergraduate Research	ECE 4994	3	A	12
TERM GPA	2.825										
CUMULATIVE GPA	#VALUE!						TERM GPA	3.825			
							CUMULATIVE GPA	#ERROR!			
Electronics 	ECE 2204	3	B+ 	9.9				#VALUE!			
Electronic Networks Lab I 	ECE 2274	1	B	3							
Microcontroller Interfacing	ECE 2534	4	C	8			Introduction to Biology	BIOL 1004	3	B-	8.1
Creativity and the Aesthetic Exp	FA 2004	1	A	1			Embedded System Design 	ECE 4534	4	A	16
							Technical Writing	ECE 3764	3	A-	11.1
TERM GPA	3.433333333						Engineering Economy 	ISE 2014	2	B	6
CUMULATIVE GPA	#ERROR!										
	#VALUE!						TERM GPA	3.433333333			
							CUMULATIVE GPA	#ERROR!			
								#VALUE!			
											
											
							OVERALL GPA	3.458600315			
							CUMULATIVE GPA	2.86			