"LICENSE TYPE","LICENSE NUMBER","LICENSE EXPIRATION DATE","COUNTY","NAME","MAILING ADDRESS LINE1","MAILING ADDRESS LINE2","MAILING ADDRESS CITY, STATE ZIP","PHONE NUMBER","BUSINESS NAME","BUSINESS ADDRESS-LINE1","BUSINESS ADDRESS-LINE2","BUSINESS CITY, STATE ZIP","BUSINESS COUNTY CODE","BUSINESS COUNTY","BUSINESS ZIP","BUSINESS PHONE","LICENSE SUBTYPE","CONTINUING EDUCATION FLAG","Same Address or not","Business Address that mentions BOX","Mailing address that mentions BOX","Phone-same or not"
"Service Company",245563, 06/30/2027,"BRAZOS","A-1 PUMP INC","","","","","A-1 PUMP INC","6125 STATE HWY 21 E","","Bryan TX 77808","0041","BRAZOS","77808","9797782418","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245697, 04/30/2027,"ELLIS","VICTRON ENERGY INC","","","","","VICTRON ENERGY INC","105 YMCA DR","","Waxahachie TX 75168","0139","ELLIS","75168","4695172000","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245736, 11/30/2025,"MIDLAND","G E GOODSON SERVICE COMPANY INC","","","","","G E GOODSON SERVICE COMPANY INC","4612 SINCLAIR AVE","","Midland TX 79707","0329","MIDLAND","79707","4325202128","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245740, 06/30/2027,"HARRIS","BURNS PUMP SERVICE INC","","","","","BURNS PUMP SERVICE INC","1612 SHEPHERD DR","","Houston TX 77007","0201","HARRIS","77007","7138623254","Service Company","N","Same address",0,0,"Same phone"
"Service Company",245743, 09/11/2027,"TAYLOR","TESCO EQUIPMENT AND SUPPLY CO.","","","","","TESCO EQUIPMENT AND SUPPLY CO.","1024 WALNUT ST","","ABILENE TX 79601-4223","0441","TAYLOR","79601","3256768241","Service Company","N","Same address",0,0,"Same phone"
"Service Company",245765, 07/31/2027,"HIDALGO","SOUTH TEXAS PUMP INC","","","","","SOUTH TEXAS PUMP INC","7414 N FM 88","","WESLACO TX 78596","0215","HIDALGO","78596","9569693534","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245803, 03/21/2026,"HARRIS","B AND F MAINTENANCE SERVICE","","","","","B AND F MAINTENANCE SERVICE","408 DALE ST","","Houston TX 77060","0201","HARRIS","77060","2814478162","Service Company","N","Same address",0,0,"Same phone"
"Service Company",245826, 10/28/2025,"ANGELINA","FRANK GREEN","","","","","FRANK GREEN","1088 LINDSEY LN","","Huntington TX 75949","0005","ANGELINA","75949","9364223110","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245881, 12/30/2025,"JEFFERSON","PUMPTEX INC","","","","","PUMPTEX INC","715 CHAMBERLIN DR","","Beaumont TX 77707","0245","JEFFERSON","77707","4098122210","Service Company","N","not the same",0,4,"Same phone"
"Service Company",260991, 07/12/2026,"HARRIS","LIBERTY EQUIPMENT SALES INC","","","","","LIBERTY EQUIPMENT SALES INC","15115 CLAYPOOL ST","","Houston TX 77032","0201","HARRIS","77032","2819878708","Service Company","N","Same address",0,0,"Same phone"
"Service Company",296479, 07/31/2027,"HARDIN","TRIDENT PETROLEUM EQUIPMENT INC","","","","","TRIDENT PETROLEUM EQUIPMENT INC","9176 CYPRESS DR","","LUMBERTON TX 76657","0309","MCLENNAN","76657","4096737791","Service Company","N","not the same",0,4,"Same phone"
"Service Company",323369, 04/07/2026,"OUT OF STATE","JONES BROTHERS CO INC","","","","","JONES BROTHERS CO INC","4100 MEADOW LN","","BOSSIER CITY LA 71111","0999","OUT OF STATE","71111","3187465735","Service Company","N","Same address",0,0,"Same phone"
"Service Company",431274, 06/08/2025,"DALLAS","BASSCO SERVICES INC","","","","","BASSCO SERVICES INC","9219 VISCOUNT ROW","","Dallas TX 75247","0113","DALLAS","75247","2143524432","Service Company","N","Same address",0,0,"Same phone"
"Service Company",447016, 07/31/2025,"TARRANT","MSCS LTD","","","","","MSCS LTD","206 SHELBY RD","","Fort Worth TX 76140","0439","TARRANT","76140","9722240699","Service Company","N","Same address",0,0,"Same phone"
"Service Company",462091, 11/30/2025,"CHAMBERS","EAGLE PUMP AND METERS INC","","","","","EAGLE PUMP AND METERS INC","4200 KENDALL RD","","BAYTOWN TX 77523","0071","CHAMBERS","77523","2815731662","Service Company","N","not the same",0,4,"Same phone"
"Service Company",472763, 10/30/2025,"COMAL","CLEAN EARTH SOLUTIONS INC","","","","","CLEAN EARTH SOLUTIONS INC","1385 WALD RD","","New Braunfels TX 78132","0091","COMAL","78132","8306261422","Service Company","N","Same address",0,0,"Same phone"
"Service Company",477796, 07/31/2027,"TAYLOR","INT CONSULTANTS OF THE ENVIRONMENT INC","","","","","INT CONSULTANTS OF THE ENVIRONMENT INC","1003 SCOTT ST","","TYE TX 79563-2745","0441","TAYLOR","79563","3256924690","Service Company","N","Same address",0,0,"Same phone"
"Service Company",480414, 08/31/2025,"HENDERSON","CHANDLER PUMP SERVICE INC","","","","","CHANDLER PUMP SERVICE INC","516 SUSIE ST","","Chandler TX 75758","0213","HENDERSON","75758","9038494558","Service Company","N","Same address",0,0,"Same phone"
"Service Company",486269, 07/13/2027,"WILLIAMSON","ERLING SALES AND SERVICE LLC","","","","","ERLING SALES AND SERVICE LLC","225 BENELLI DR","","HUTTO TX 78634","0491","WILLIAMSON","78634","8003245000","Service Company","N","not the same",0,4,"not the same"
"Service Company",489156, 08/28/2027,"POTTER","TOOT N TOTUM FOOD STORES LLC","","","","","TOOT N TOTUM FOOD STORES LLC","1201 S TAYLOR ST","","Amarillo TX 79101","0375","POTTER","79101","8068038007","Service Company","N","Same address",0,0,"Same phone"
"Service Company",498339, 02/28/2027,"NUECES","R AND R PETRO SERVICES INC","","","","","R AND R PETRO SERVICES INC","5729 LEOPARD ST BLDG 3","","Corpus Christi TX 78408","0355","NUECES","78408","3612897730","Service Company","N","Same address",0,0,"Same phone"
"Service Company",498350, 12/01/2025,"HARRIS","KT FUEL SERVICE INC","","","","","KT FUEL SERVICE INC","10800 GOSLING RD","","SPRING TX 77393","0201","HARRIS","77393","2815430643","Service Company","N","not the same",0,4,"Same phone"
"Service Company",507291, 10/03/2025,"ORANGE","B AND P PUMP SERVICE LLC","","","","","B AND P PUMP SERVICE LLC","5635 WESTLAKE DR","","Vidor TX 77662","0361","ORANGE","77662","4096221881","Service Company","N","Same address",0,0,"Same phone"
"Service Company",508485, 10/30/2025,"COLLIN","LYND FUELING SYSTEM INC","","","","","LYND FUELING SYSTEM INC","1701 SUMMIT AVE STE 1","","Plano TX 75074","0085","COLLIN","75074","9726331022","Service Company","N","not the same",0,4,"Same phone"
"Service Company",514153, 02/06/2026,"ANDERSON","KYLE MCGILL'S T AND P SERVICE LLC","","","","","KYLE MCGILL'S T AND P SERVICE LLC","17130 STATE HIGHWAY 155","","FRANKSTON TX 75763-6742","0001","ANDERSON","75763","9037237157","Service Company","N","Same address",0,0,"Same phone"
"Service Company",521518, 05/10/2026,"HARRIS","GEO ENVIRONMENTAL CONSULTANTS INC","","","","","GEO ENVIRONMENTAL CONSULTANTS INC","40 LYERLY ST","","Houston TX 77022","0201","HARRIS","77022","7136954708","Service Company","N","Same address",0,0,"Same phone"
"Service Company",522428, 08/28/2027,"OUT OF STATE","CROMPCO LLC","","","","","CROMPCO LLC","1815 GALLAGHER RD","","PLYMOUTH MEETING PA 19462","0999","OUT OF STATE","19462","6102765914","Service Company","N","Same address",0,0,"Same phone"
"Service Company",581183, 08/19/2027,"MONTGOMERY","RICKY J BROWN","","","","","RICKY J BROWN","3115 VINCENT CROSSING DR","","Spring TX 77386","0339","MONTGOMERY","77386","2815462053","Service Company","N","Same address",0,0,"Same phone"
"Service Company",587408, 06/30/2025,"HARRIS","STEVE'S INSTALLATION CO INC","","","","","STEVE'S INSTALLATION CO INC","215 BENNINGTON ST","","HOUSTON TX 77022","0201","HARRIS","77022","7136956457","Service Company","N","not the same",0,0,"Same phone"
"Service Company",590454, 07/31/2027,"OUT OF STATE","MEASUREMENT TECHNOLOGIES INC","","","","","MEASUREMENT TECHNOLOGIES INC","417 N 8TH ST","","LA PORTE TX 77571-3225","0201","HARRIS","77571","9858769480","Service Company","N","not the same",0,4,"Same phone"
"Service Company",595560, 03/08/2026,"BOWIE","4 CORNERS PETROLEUM EQUIPMENT INC","","","","","4 CORNERS PETROLEUM EQUIPMENT INC","118 INDUSTRIAL BLVD","","Nash TX 75569","0037","BOWIE","75569","9037937454","Service Company","N","Same address",0,0,"Same phone"
"Service Company",603990, 12/30/2025,"EL PASO","C AND L PUMP SERVICE INC","","","","","C AND L PUMP SERVICE INC","1510 N ZARAGOSA STE B6","","El Paso TX 79936","0141","EL PASO","79936","8882573216","Service Company","N","not the same",0,0,"Same phone"
"Service Company",609380, 08/04/2027,"LUBBOCK","LUBBOCK PLAINS PUMP CO INC","","","","","LUBBOCK PLAINS PUMP CO INC","3045 CLOVIS RD","","Lubbock TX 79415","0303","LUBBOCK","79415","8067639239","Service Company","N","not the same",0,4,"not the same"
"Service Company",613251, 08/23/2026,"HAYS","EXCELL ENVIRONMENTAL INC","","","","","EXCELL ENVIRONMENTAL INC","549 S LOOP 4","","Buda TX 78610","0209","HAYS","78610","5122805230","Service Company","N","Same address",0,0,"Same phone"
"Service Company",619611, 10/30/2025,"HARRIS","MANSOOR A BUKHARI","","","","","MANSOOR A BUKHARI","5307 CLARKDON COURT","","Houston TX 77066","0201","HARRIS","77066","7132969745","Service Company","N","not the same",0,4,"Same phone"
"Service Company",622456, 12/30/2025,"TARRANT","HT MAINTENANCE INC","","","","","HT MAINTENANCE INC","2943 CAYUGA LN","","GRAND PRAIRIE TX 75054","0113","DALLAS","75054","8172331880","Service Company","N","not the same",0,4,"Same phone"
"Service Company",625946, 10/28/2025,"HARRIS","COASTAL TANK AND TESTING LLC","","","","","COASTAL TANK AND TESTING LLC","1717 STRAWN RD","","HOUSTON TX 77039","0201","HARRIS","77039","2814428402","Service Company","N","Same address",0,0,"Same phone"
"Service Company",641876, 02/14/2027,"OUT OF STATE","HUELS SERVICE INC","","","","","HUELS SERVICE INC","835 W DESERT HILLS DR","","PHOENIX AZ 85086","0999","OUT OF STATE","85086","6234657170","Service Company","N","not the same",0,0,"Same phone"
"Service Company",643349, 04/30/2025,"LIBERTY","BAXTER ENVIROMENTAL INC","","","","","BAXTER ENVIROMENTAL INC","12183 HWY 105","","Cleveland TX 77327","0291","LIBERTY","77327","2815932337","Service Company","N","Same address",0,0,"Same phone"
"Service Company",673853, 02/28/2027,"OUT OF STATE","DATZ UST MANAGEMENT LLC","","","","","DATZ UST MANAGEMENT LLC","256 IVEY RD","","LUFKIN TX 75904","0005","ANGELINA","75904","8553289878","Service Company","N","not the same",0,0,"Same phone"
"Service Company",689699, 09/30/2025,"BELL","C NADEAU LTD","","","","","C NADEAU LTD","2305 E ADAMS AV","","TEMPLE TX 76501","0027","BELL","76501","2547705454","Service Company","N","not the same",0,4,"Same phone"
"Service Company",690472, 09/30/2027,"OUT OF STATE","QUIKTRIP CORPORATION","","","","","QUIKTRIP CORPORATION","2701 E PLANO PKWY STE 150","","Plano TX 75074","0085","COLLIN","75074","9186157700","Service Company","N","not the same",0,4,"Same phone"
"Service Company",690473, 09/30/2027,"OUT OF STATE","QUIKTRIP CORPORATION","","","","","QUIKTRIP CORPORATION","2007 108TH ST","","Grand Prairie TX 75050","0113","DALLAS","75050","9186157700","Service Company","N","not the same",0,4,"Same phone"
"Service Company",714542, 05/28/2027,"TRAVIS","ZIUE TECHS LLC","","","","","ZIUE TECHS LLC","18405 DAWSON CREEK","","Pflugerville TX 78660","0453","TRAVIS","78660","5122845275","Service Company","N","not the same",0,0,"Same phone"
"Service Company",719036, 03/21/2026,"TRAVIS","TANKNOLOGY INC","","","","","TANKNOLOGY INC","11000 N MOPAC EXPY STE 500","","Austin TX 78759","0453","TRAVIS","78759","5123807226","Service Company","N","Same address",0,0,"Same phone"
"Service Company",724133, 06/08/2027,"HARRIS","D AND H UNITED FUELING SOLUTIONS INC","","","","","D AND H UNITED FUELING SOLUTIONS INC","8559 E NORTH BELT","","HUMBLE TX 77396-2915","0201","HARRIS","77396","8067622428","Service Company","N","Same address",0,0,"Same phone"
"Service Company",729421, 07/31/2027,"TARRANT","METER CALIBRATION SOLUTIONS LLC","","","","","METER CALIBRATION SOLUTIONS LLC","6001 PLUM ST","","WATAUGA TX 76148","0439","TARRANT","76148","8172106460","Service Company","N","not the same",0,4,"Same phone"
"Service Company",736333, 08/04/2027,"FORT BEND","ENVIRONMENTAL SOLUTIONS GROUP LLC","","","","","ENVIRONMENTAL SOLUTIONS GROUP LLC","6115 FM 762 STE 500","","RICHMOND TX 77469-8505","0157","FORT BEND","77469","2812422687","Service Company","N","not the same",0,6,"not the same"
"Service Company",737972, 03/27/2026,"DALLAS","LUCKY S AND S LLC","","","","","LUCKY S AND S LLC","11311 HARRY HINES BLVD","STE 602A","Dallas TX 75229","0113","DALLAS","75229","9724648661","Service Company","N","not the same",0,0,"Same phone"
"Service Company",755249, 04/16/2027,"OUT OF STATE","SENECA COMPANIES INC","","","","","SENECA COMPANIES INC","6947 E 13TH ST","","TULSA OK 74112","0999","OUT OF STATE","74112","5152625000","Service Company","N","not the same",0,0,"not the same"
"Service Company",767846, 02/27/2026,"TARRANT","PETROSERV INC","","","","","PETROSERV INC","5604 WEBSTER ST","","Haltom City TX 76117","0439","TARRANT","76117","8178340303","Service Company","N","not the same",0,4,"Same phone"
"Service Company",769282, 02/28/2025,"NACOGDOCHES","EAST TEXAS PUMP SERVICE LLC","","","","","EAST TEXAS PUMP SERVICE LLC","4123 OLD TYLER RD","","Nacogdoches TX 75964","0347","NACOGDOCHES","75964","9366454250","Service Company","N","not the same",0,4,"Same phone"
"Service Company",771028, 02/28/2027,"BANDERA","GAS SERVICE CORPORATION","","","","","GAS SERVICE CORPORATION","3326 HWY 16 S","","Bandera TX 78003","0019","BANDERA","78003","2103366490","Service Company","N","not the same",0,4,"not the same"
"Service Company",771754, 08/15/2027,"MCLENNAN","VANCE J BALLEW","","","","","VANCE J BALLEW","4016 SAMES ST","","WACO TX 76705-2564","0309","MCLENNAN","76705","2547441293","Service Company","N","not the same",0,4,"Same phone"
"Service Company",772584, 03/01/2026,"FORT BEND","PETROLOGY SOLUTIONS INC","","","","","PETROLOGY SOLUTIONS INC","502 SOMERSET DR","","Sugar Land TX 77479","0157","FORT BEND","77479","8325007867","Service Company","N","Same address",0,0,"not the same"
"Service Company",772840, 07/24/2026,"HARRIS","BEAR SERVICES LP","","","","","BEAR SERVICES LP","2815 SPRING CYPRESS","","Spring TX 77388","0201","HARRIS","77388","2813558953","Service Company","N","not the same",0,4,"Same phone"
"Service Company",774252, 05/30/2027,"POTTER","WILLBORN BROS CO LLC","","","","","WILLBORN BROS CO LLC","202 S ARTHUR ST","","Amarillo TX 79102","0375","POTTER","79102","8065421116","Service Company","N","not the same",0,4,"Same phone"
"Service Company",775718, 06/30/2027,"HARRIS","TECH MULTI PRODUCTS LLC","","","","","TECH MULTI PRODUCTS LLC","17435 MEMORIAL BLOSSOM DR","","Spring TX 77379","0201","HARRIS","77379","8323739829","Service Company","N","Same address",0,0,"Same phone"
"Service Company",775845, 08/29/2025,"BRAZOS","FDR AND CP SERVICES LLC","","","","","FDR AND CP SERVICES LLC","2503 TABOR RD","","Bryan TX 77803","0041","BRAZOS","77803","9793243645","Service Company","N","not the same",0,4,"Same phone"
"Service Company",784775, 10/30/2025,"BEXAR","FOUR SIX PROPERTIES LTD","","","","","FOUR SIX PROPERTIES LTD","5747 DIETRICH RD","","San Antonio TX 78219","0029","BEXAR","78219","2102261191","Service Company","N","Same address",0,0,"Same phone"
"Service Company",787191, 04/29/2024,"COLLIN","CAL'S CONVENIENCE INC","","","","","CAL'S CONVENIENCE INC","7460 WARREN PKWY STE 310","","Frisco TX 75034","0085","COLLIN","75034","4693910803","Service Company","N","Same address",0,0,"Same phone"
"Service Company",794275, 08/16/2027,"HARRIS","ALG TRUCK AND TRAILER REPAIR LP","","","","","ALG TRUCK AND TRAILER REPAIR LP","5855 KELLEY ST","","Houston TX 77026","0201","HARRIS","77026","7136955255","Service Company","N","not the same",0,4,"Same phone"
"Service Company",795500, 09/22/2025,"HARRIS","P AND L GAS DISPENSERS LLC","","","","","P AND L GAS DISPENSERS LLC","2210 PECH RD","","HOUSTON TX 77055","0201","HARRIS","77055","7134635412","Service Company","N","Same address",0,0,"not the same"
"Service Company",796444, 11/09/2025,"HARRIS","H AND A UST SOLUTIONS LLC","","","","","H AND A UST SOLUTIONS LLC","8905 LAS CRUCES CIRCLE","","Houston TX 77078","0201","HARRIS","77078","8326026745","Service Company","N","Same address",0,0,"Same phone"
"Service Company",802512, 09/27/2026,"TRAVIS","US TEST CO LLC","","","","","US TEST CO LLC","9901 MOUNTAIN OAKS DR","","Austin TX 78733","0453","TRAVIS","78733","7372221776","Service Company","N","not the same",0,4,"Same phone"
"Service Company",803237, 02/07/2026,"HARRIS","ALLSTAR PETROLEUM SERVICES INC","","","","","ALLSTAR PETROLEUM SERVICES INC","23407 SNOOK LN BLDG 3","","Tomball TX 77375","0201","HARRIS","77375","7138805523","Service Company","N","Same address",0,0,"Same phone"
"Service Company",812997, 07/12/2026,"GRAYSON","LUCKY PETROLEUM LP","","","","","LUCKY PETROLEUM LP","4930 S STATE HIGHWAY 91","","DENISON TX 75020-8029","0181","GRAYSON","75020","9033371892","Service Company","N","not the same",0,0,"not the same"
"Service Company",821208, 11/29/2025,"OUT OF STATE","RACETRAC PETROLEUM INC","","","","","RACETRAC PETROLEUM INC","200 GALLERIA PWY","","ALANTA GA 30339","0999","OUT OF STATE","30339","7704317600","Service Company","N","not the same",0,0,"Same phone"
"Service Company",822611, 11/13/2026,"OUT OF STATE","CITY MART ENERGY LLC","","","","","CITY MART ENERGY LLC","1415 OLD IOWA PARK HWY","","WICHITA FALLS TX 76306","0485","WICHITA","76306","5804750046","Service Company","N","not the same",0,0,"not the same"
"Service Company",836674, 12/30/2025,"OUT OF STATE","KACHINA PETROLEUM EQUIPMENT CO","","","","","KACHINA PETROLEUM EQUIPMENT CO","3507 CONFEDERATE DR","","El Paso TX 79936","0141","EL PASO","79936","5052923090","Service Company","N","not the same",0,5,"Same phone"
"Service Company",841125, 05/12/2027,"HARRIS","OMEGA ENVIRONMENTAL LLC","","","","","OMEGA ENVIRONMENTAL LLC","20503 TAMARRON DR","","HUMBLE TX 77346-1521","0201","HARRIS","77346","2818501308","Service Company","N","Same address",0,0,"Same phone"
"Service Company",841414, 09/26/2025,"TARRANT","NIRMAL RK ENTERPRISES LLC","","","","","NIRMAL RK ENTERPRISES LLC","233 BUCKINGHAM AVE","","EULESS TX 76040","0439","TARRANT","76040","8177143662","Service Company","N","Same address",0,0,"not the same"
"Service Company",841438, 08/24/2025,"SAN JACINTO","JONES PUMP, LLC","","","","","JONES PUMP, LLC","101 WOODLAND DR","","SHEPHERD TX 77371","0407","SAN JACINTO","77371","8779782137","Service Company","N","not the same",0,4,"not the same"
"Service Company",841502, 09/10/2027,"JEFFERSON","JS CONSULTING LLC","","","","","JS CONSULTING LLC","3424 NEDERLAND AV","","NEDERLAND TX 77627","0245","JEFFERSON","77627","4086475473","Service Company","N","Same address",0,0,"Same phone"
"Service Company",842341, 08/29/2026,"HARRIS","NASA FUEL SERVICES LLC","","","","","NASA FUEL SERVICES LLC","13911 DORYWOOD RD","","HOUSTON TX 77038-1134","0201","HARRIS","77038","3463103509","Service Company","N","Same address",0,0,"Same phone"
"Service Company",842611, 12/02/2024,"DALLAS","DALLAS PETRO TECH LIMITED LIABILITY CO","","","","","DALLAS PETRO TECH LIMITED LIABILITY CO","1231 S FITZHUGH AVE","","DALLAS TX 75223-3227","0113","DALLAS","75223","4698055972","Service Company","N","not the same",0,0,"Same phone"
"Service Company",842680, 01/12/2027,"FORT BEND","ACE PETRO, LLC","","","","","ACE PETRO, LLC","13923 BRIXTON DR","","RICHMOND TX 77407-1005","0157","FORT BEND","77407","8322285677","Service Company","N","Same address",0,0,"Same phone"
"Service Company",842692, 01/19/2027,"GREGG","B & J EQUIPMENT, LTD","","","","","B & J EQUIPMENT, LTD","3647 EAST LOOP DR","","LONGVIEW TX 75602-6703","0183","GREGG","75602","9037574765","Service Company","N","Same address",0,0,"Same phone"
"Service Company",843096, 05/16/2025,"WICHITA","BIZA TRUCKING LLC","","","","","BIZA TRUCKING LLC","1307 MLK JR BLVD","","WICHITA FALLS TX 76301-7611","0485","WICHITA","76301","9407230151","Service Company","N","Same address",0,0,"Same phone"
"Service Company",843097, 05/16/2025,"","GUARDIAN FUELING TECHNOLOGIES LLC","","","","","GUARDIAN FUELING TECHNOLOGIES LLC","1812 AVENUE D STE 208","","KATY TX 77493-1653","0201","HARRIS","77493","2812095467","Service Company","N","",0,0,"not the same"
"Service Company",843154, 06/05/2025,"EL PASO","TECHNICAL SOLUTIONS","","","","","TECHNICAL SOLUTIONS","12309 ROJAS DR STE A13","","EL PASO TX 79928-5252","0141","EL PASO","79928","9153738165","Service Company","N","Same address",0,0,"Same phone"
"Service Company",843292, 07/25/2027,"HARRIS","NZ CONSTRUCTION CORP","","","","","NZ CONSTRUCTION CORP","4450 S WAYSIDE DR STE 101","","HOUSTON TX 77087-1126","0201","HARRIS","77087","2818507100","Service Company","N","Same address",0,0,"Same phone"
"Service Company",843465, 09/01/2025,"HARRIS","PMFR ENTERPRISE LLC","","","","","PMFR ENTERPRISE LLC","11843 WILCREST DR","","HOUSTON TX 77031-1919","0201","HARRIS","77031","2817866055","Service Company","N","Same address",0,0,"not the same"
"Service Company",843561, 09/15/2025,"KERR","BGIS GLOBAL INTEGRATED SOLUTIONS US LLC","","","","","BGIS GLOBAL INTEGRATED SOLUTIONS US LLC","1901 MEMORIAL BLVD","","KERRVILLE TX 78028-6053","0265","KERR","78028","8442447126","Service Company","N","Same address",0,0,"not the same"
"Service Company",843562, 09/15/2025,"ECTOR","RYKIN PUMP CO INC","","","","","RYKIN PUMP CO INC","2333 N JACKSON AVE","","ODESSA TX 79761-1222","0135","ECTOR","79761","4325800101","Service Company","N","Same address",0,0,"not the same"
"Service Company",843577, 09/20/2025,"OUT OF STATE","JF PETROLEUM GROUP","","","","","JF PETROLEUM GROUP","100 PERIMETER PARK DR STE H","","MORRISVILLE NC 27560-9203","0999","OUT OF STATE","27560","9729290646","Service Company","N","Same address",0,0,"Same phone"
"Service Company",843644, 10/09/2025,"HARRIS","MGT FUEL SYSTEM","","","","","MGT FUEL SYSTEM","4314 DELHI ST","","HOUSTON TX 77022-4042","0201","HARRIS","77022","8323677139","Service Company","N","Same address",0,0,"Same phone"
"Service Company",843684, 10/13/2025,"BEXAR","C-STORE TECHNOLOGIES INC","","","","","C-STORE TECHNOLOGIES INC","5452 SCHERTZ RD STE B","","SAN ANTONIO TX 78233","0029","BEXAR","78233","2102799397","Service Company","N","not the same",0,0,"Same phone"
"Service Company",843739, 10/31/2025,"HIDALGO","PSI JF PETROLEUM GROUP, INC.","","","","","PSI JF PETROLEUM GROUP, INC.","3702 S EXPWY 281","","EDINBURG TX 78542-7023","0215","HIDALGO","78542","9566869582","Service Company","N","Same address",0,0,"Same phone"
"Service Company",843800, 11/27/2025,"HARDIN","GULF COAST FUEL SERVE, LLC","","","","","GULF COAST FUEL SERVE, LLC","740 3RD ST","","SOUR LAKE TX 77659-1862","0199","HARDIN","77659","4096788574","Service Company","N","not the same",0,4,"Same phone"
"Service Company",843875, 12/07/2025,"MIDLAND","DOUBLE M PUMP, LLC","","","","","DOUBLE M PUMP, LLC","2700 FM 715","","MIDLAND TX 79706","0329","MIDLAND","79706","4322889243","Service Company","N","not the same",0,4,"not the same"
"Service Company",843877, 12/14/2025,"DALLAS","HARPER FUELING SOLUTIONS LLC","","","","","HARPER FUELING SOLUTIONS LLC","2809 SINGLETON ST","","ROWLETT TX 75088","0113","DALLAS","75088","9724751803","Service Company","N","Same address",0,0,"not the same"
"Service Company",844383, 04/24/2026,"GRAYSON","OFFEN PETROLUEM LLC","","","","","OFFEN PETROLUEM LLC","325 E FOREST AVE","","SHERMAN TX 75090","0181","GRAYSON","75090","9038931181","Service Company","N","Same address",0,0,"not the same"
"Service Company",844526, 05/14/2026,"OUT OF STATE","ENERGITECH SERVICES LLC","","","","","ENERGITECH SERVICES LLC","558 CARTER COURT","","KIMBERLY WI 54136","0999","OUT OF STATE","54136","9207358287","Service Company","N","Same address",0,0,"not the same"
"Service Company",844701, 05/31/2026,"OUT OF STATE","HARCO SERVICES LLC","","","","","HARCO SERVICES LLC","2 KELLI CLARK CT SE","","CARTERSVILLE GA 30121","0999","OUT OF STATE","30121","7709178846","Service Company","N","Same address",0,0,"Same phone"
"Service Company",845143, 01/02/2027,"HARRIS","FUELMAN SERVICES LLC","","","","","FUELMAN SERVICES LLC","5512 MITCHELLDALE","","HOUSTON TX 77092-7218","0201","HARRIS","77092","7134385933","Service Company","N","Same address",0,0,"not the same"
"Service Company",845176, 01/13/2027,"MIDLAND","FLX ENERGY SERVICES, LLC","","","","","FLX ENERGY SERVICES, LLC","12406 W COUNTY RD STE 100","","ODESSA TX 79765","0135","ECTOR","79765","4326149687","Service Company","N","not the same",0,4,"Same phone"
"Service Company",845435, 04/08/2027,"PARKER","WISE PUMP SERVICE","","","","","WISE PUMP SERVICE","287 PRIVATE ROAD 3856","","POOLVILLE TX 76487-2559","0367","PARKER","76487","8709253406","Service Company","N","Same address",0,0,"Same phone"
"Service Company",845689, 07/10/2027,"BURLESON","COTHERN TANKER INSPECTIONS, LLC","","","","","COTHERN TANKER INSPECTIONS, LLC","8676 COUNTY ROAD 201","","CALDWELL TX 77836","0051","BURLESON","77836","9795354943","Service Company","N","not the same",0,4,"Same phone"
"Service Company",845784, 08/19/2027,"OUT OF STATE","C&W METER SERVICE, LLC","","","","","C&W METER SERVICE, LLC","60 PACIFIC DR STE 200","","QUAKERTOWN PA 18951-3601","0999","OUT OF STATE","18951","2155383708","Service Company","N","Same address",0,0,"Same phone"
